id,Sex,W6,W12,W18,W24,Age,target
U124815,1,32.6,37.5,40.4,40.5,749,249
U124899,1,34.6,35.9,38.9,38.6,1099,599
U124906,1,33.1,37.9,39.9,40.1,1113,613
U124913,1,32.1,39.8,43.1,46.9,970,470
U124969,1,41.8,45.5,43.6,46.4,737,237
U124976,1,41.2,45.3,44,0,477,-23
U124983,1,35.3,39,39.8,41,1219,719
U125011,0,26.3,32.9,37,46.1,992,492
U125018,0,25.8,35,32,38.4,857,357
U125025,0,30.7,38.3,40.4,45.3,943,443
U125032,0,23.9,26.9,28.1,35.1,956,456
U125417,1,39.5,49.1,53,0,624,124
U125424,1,36.6,42.8,43.4,0,611,111
U125431,1,34.8,44.9,45.9,43.2,739,239
U125466,1,37.7,41.4,44,0,440,-60
U125473,1,34.3,42.6,44.4,45.7,1011,511
U125480,1,34,42,44.8,45.6,938,438
U125508,0,29,31.6,38.6,42.1,942,442
U125515,0,27.2,27.2,29.9,40.7,1116,616
U125522,0,32.2,36.5,36.1,0,568,68
U125529,0,29.3,36.7,42.4,37.4,783,283
U125557,1,38.7,43.3,44,0,458,-42
U125564,1,38.7,43.9,46.4,45.2,1025,525
U125571,1,31.1,38,39.6,39.1,1013,513
U125578,1,37.6,35.6,38,38.9,928,428
U125585,1,38,33.1,34.6,36.4,1138,638
U125592,1,35.6,33.5,35.9,38.1,1006,506
U125620,0,26.4,34.2,35.4,41,960,460
U125627,0,32.5,38.8,44.9,47.7,841,341
U125634,0,28.1,34.7,38.9,41.3,1013,513
U125641,0,38.8,47.4,55.2,57.5,1060,560
U125746,1,37.9,43,46.6,0,603,103
U125753,1,34.6,42.8,45,45.9,1097,597
U125760,1,40.5,42.9,43.7,44.1,934,434
U125795,1,35.3,39.1,45.2,43.7,802,302
U125802,1,32.9,43.8,45.2,49.1,1007,507
U125809,1,35.5,38.3,43.1,46.2,1228,728
U125977,0,24.7,27.1,31.1,32,1203,703
U125984,0,29.9,41.2,47.4,49.9,1030,530
U125991,0,26.4,33.1,42.4,46.4,953,453
U125998,0,26.3,30.3,37,38.3,839,339
U126033,0,24,29.3,36,39.9,981,481
U126040,0,24.8,27.5,31.7,38.4,1047,547
U126047,0,25.6,29.5,32.6,34.6,754,254
U126054,0,28.3,30.1,32.8,33.2,1087,587
U126061,0,26.4,30.9,37.3,21.3,742,242
U126068,0,26,31.1,36.6,35.7,802,302
U126075,0,26.8,31.6,34.2,38,856,356
U126082,0,25.8,32.5,37.1,43.7,1229,729
U126110,0,26.9,30.3,35.6,37.2,886,386
U126117,0,30.3,35.4,40.9,42,946,446
U126124,0,23.6,26,29.9,32.5,767,267
U126131,0,26.3,30.2,32.9,31.1,877,377
U126271,1,33.6,36.6,36,0,666,166
U126278,1,32.3,41.3,43.6,41.9,800,300
U126285,1,29.5,34.1,39.6,40,1083,583
U126292,0,26.4,31.5,35.1,34,806,306
U126306,0,23,27.5,27.3,30.1,1057,557
U126313,0,25.5,34,37.5,37.5,1066,566
U126390,0,33.2,45.5,52.5,49.4,980,480
U126397,0,34.2,43.7,48.6,40.2,794,294
U126404,0,30.8,36.4,39.6,43.1,968,468
U126411,0,31.3,40.1,43.8,50.3,988,488
U126530,1,34.9,41.6,44,46.7,1151,651
U126537,1,43,50.8,44,0,537,37
U126544,1,38.6,45.6,44,0,336,-164
U126551,1,42.7,45.6,44,0,272,-228
U126558,1,41.4,46.2,46.1,49.4,816,316
U126565,1,42.7,53.8,50.4,40.8,801,301
U126670,0,27.5,34.3,35.7,40.4,801,301
U126677,0,26.6,31.9,39.9,46,857,357
U126684,0,27.6,25.9,24.8,25,841,341
U126691,0,29.5,32.2,39,47.6,885,385
U126866,1,36.1,43.5,47.7,46.8,1079,579
U126873,1,35.2,40.5,40.2,37.7,781,281
U126880,1,44.7,53,58,59.9,1111,611
U126908,1,38.9,46.4,44,0,526,26
U126915,1,41.1,46.1,46.9,45.7,971,471
U126922,1,40.4,48.2,38,0,585,85
U127069,0,25.4,30,36.5,45.4,791,291
U127076,0,24.3,30.7,38.9,40.8,918,418
U127083,0,31.9,43.1,49.3,44.4,739,239
U127090,0,29.2,36.2,37.6,0,721,221
U127118,0,34.3,44.8,48.7,0,698,198
U127125,0,31.8,42.4,45.3,43.4,1024,524
U127132,0,31.3,40.5,40,17.9,735,235
U127139,0,30.9,38.4,40.8,36.2,791,291
U127174,1,34.5,39.9,43.6,32.1,758,258
U127181,1,33.2,39.2,42.5,42.8,806,306
U127188,1,34.8,40.3,41,31,866,366
U127293,1,34.1,41.2,43.9,42.3,1077,577
U127300,1,36.1,43,44.7,42.1,985,485
U127307,1,43.7,51.7,54.3,0,713,213
U127384,0,34.5,40.9,44.4,46.6,814,314
U127391,0,28.6,35.4,36,38.4,831,331
U127398,0,40.2,50.1,58.3,62.1,1108,608
U127405,0,35.1,37.5,50.2,50.6,1025,525
U127440,1,32.6,37.7,39.5,0,699,199
U127447,1,36.7,44.1,46.8,41.4,1106,606
U127454,1,34.7,39.1,39.8,38.1,849,349
U127608,1,38.3,44.2,45.6,34.6,783,283
U127615,1,42.5,48.3,49.6,0,717,217
U127622,1,34.5,38.8,40.7,32.9,829,329
U127629,0,23.3,24.9,27.5,0,696,196
U127636,0,29.4,35.6,44,0,526,26
U127643,0,35.5,42.5,45.4,35.9,1048,548
U127650,0,26.1,33.2,38.6,43,790,290
U127657,1,37.7,47.2,51.8,48.6,939,439
U127664,1,34.4,41.6,44.2,46,1169,669
U127671,1,39.1,48.8,51.7,40.8,735,235
U127706,0,35.6,45.6,44,0,149,-351
U127713,0,27.9,34.6,39,38,1156,656
U127720,0,28.6,38.6,41.9,0,539,39
U127727,0,31.8,42.7,44,0,717,217
U127881,1,32.8,37.3,37.9,36.3,1249,749
U127888,1,31.4,34.5,38.8,39.4,1000,500
U127895,1,41.5,46.6,49.8,47.1,907,407
